Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Taste_Categories,Full-bodied,Lingering,Sour,Sweet
Arabica,Brazil,2011,Green,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,"['Sweet', 'Sour', 'Lingering']",0,1,1,1
Arabica,Brazil,2011,Blue-Green,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,"['Sweet', 'Sour']",0,0,1,1
Arabica,Costa Rica,2017,Blue-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Uganda,2016,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,China,2015,Green,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Costa Rica,2014,Green,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,"['Sweet', 'Sour', 'Lingering']",0,1,1,1
Arabica,Colombia,2015,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,China,2013,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Guatemala,2013,Green,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Kenya,2012,Blue-Green,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Mexico,2012,Green,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,"['Sweet', 'Sour']",0,0,1,1
Arabica,Guatemala,2012,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,"['Sweet', 'Sour', 'Lingering']",0,1,1,1
Arabica,Costa Rica,2016,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Indonesia,2017,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Colombia,2015,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Colombia,2014,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Taiwan,2012,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,"['Sweet', 'Sour', 'Lingering']",0,1,1,1
Arabica,United States (Hawaii),2012,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,"['Sweet', 'Sour']",0,0,1,1
Arabica,Kenya,2017,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Colombia,2016,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,"['Sweet', 'Sour', 'Full-bodied']",1,0,1,1
Arabica,Honduras,2016,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Colombia,2015,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Colombia,2013,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,"['Sweet', 'Sour']",0,0,1,1
Arabica,Mexico,2012,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,"['Sweet', 'Sour', 'Lingering']",0,1,1,1
Arabica,Taiwan,2016,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Thailand,2015,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Colombia,2016,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,"['Sweet', 'Full-bodied', 'Lingering']",1,1,0,1
Arabica,Guatemala,2016,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
Arabica,Guatemala,2015,Green,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,"['Sweet', 'Sour']",0,0,1,1
Arabica,China,2015,Green,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,"['Sweet', 'Sour', 'Full-bodied', 'Lingering']",1,1,1,1
